Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross (In Millions),Metascore,Votes
Avatar,2009,"Action,Adventure,Fantasy",7.8,162,760.51 ,83,"1,236,962"
Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,181,858.37 ,78,"1,108,641"
Titanic,1997,"Drama,Romance",7.9,194,659.33 ,75,"1,162,142"
Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,138,936.66 ,80,"925,551"
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,149,678.82 ,68,"1,062,517"
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.3,148,804.75 ,71,"735,006"
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,124,652.27 ,59,"640,590"
The Lion King,2019,"Animation,Adventure,Drama",6.8,118,543.64 ,55,"244,170"
The Avengers,2012,"Action,Adventure,Sci-Fi",8,143,623.28 ,69,"1,381,149"
Fast & Furious 7,2015,"Action,Crime,Thriller",7.1,137,353.01 ,67,"389,484"
Frozen II,2019,"Animation,Adventure,Comedy",6.8,103,477.37 ,64,"171,270"
Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,141,459.01 ,66,"856,080"
Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,134,700.06 ,88,"751,667"
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,130,381.01 ,85,"867,676"
Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,152,620.18 ,84,"627,406"
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",6.1,128,417.72 ,51,"315,318"
Frozen,2013,"Animation,Adventure,Comedy",7.4,102,400.74 ,75,"621,680"
Beauty and the Beast,2017,"Adventure,Family,Fantasy",7.1,129,504.01 ,65,"308,027"
Incredibles 2,2018,"Animation,Action,Adventure",7.6,118,608.58 ,80,"295,100"
The Fate of the Furious,2017,"Action,Crime,Thriller",6.6,136,226.01 ,56,"231,745"
Iron Man Three,2013,"Action,Adventure,Sci-Fi",7.1,130,409.01 ,62,"844,284"
Minions,2015,"Animation,Adventure,Comedy",6.4,91,336.05 ,56,"238,820"
Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",7.8,147,408.08 ,75,"779,525"
Aquaman,2018,"Action,Adventure,Fantasy",6.8,143,335.06 ,55,"469,031"
The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9,201,377.85 ,94,"1,826,650"
Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",7.4,129,390.53 ,69,"485,051"
Captain Marvel,2019,"Action,Adventure,Sci-Fi",6.8,123,426.83 ,64,"554,645"
Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,154,352.39 ,42,"408,412"
Skyfall,2012,"Action,Adventure,Thriller",7.8,143,304.36 ,81,"694,633"
Transformers: Age of Extinction,2014,"Action,Adventure,Sci-Fi",5.6,165,245.44 ,32,"314,154"
Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.2,127,402.45 ,68,"980,979"
The Dark Knight Rises,2012,"Action,Drama",8.4,164,448.14 ,78,"1,689,199"
Joker,2019,"Crime,Drama,Thriller",8.4,122,335.45 ,59,"1,252,541"
Star Wars: Episode IX - The Rise of Skywalker,2019,"Action,Adventure,Fantasy",6.5,141,515.20 ,53,"446,565"
Toy Story 4,2019,"Animation,Adventure,Comedy",7.7,100,434.04 ,84,"248,612"
Toy Story 3,2010,"Animation,Adventure,Comedy",8.3,103,415.00 ,92,"830,727"
Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy",7.3,151,423.32 ,53,"716,144"
The Lion King,1994,"Animation,Adventure,Drama",8.5,88,422.78 ,88,"1,048,260"
Rogue One,2016,"Action,Adventure,Sci-Fi",7.8,133,532.18 ,65,"628,840"
Aladdin,2019,"Adventure,Comedy,Family",6.9,128,355.56 ,53,"264,450"
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",6.6,137,241.06 ,45,"526,578"
Despicable Me 3,2017,"Animation,Adventure,Comedy",6.2,89,264.62 ,49,"135,707"
Finding Dory,2016,"Animation,Adventure,Comedy",7.3,97,486.30 ,77,"275,251"
Star Wars: Episode I - The Phantom Menace,1999,"Action,Adventure,Fantasy",6.5,136,474.54 ,51,"801,077"
Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.4,108,334.19 ,53,"414,116"
